Filename,Timestamp,Count of Audible Words,Words Out of Order,Longest Consecutive Count
09-30-2021 01-03-43.wav,2021-09-30T01:03:43,0,False,0
09-30-2021 03-34-55.wav,2021-09-30T03:34:55,0,False,0
09-30-2021 00-01-19.wav,2021-09-30T00:01:19,10,False,10
09-30-2021 02-51-43.wav,2021-09-30T02:51:43,10,False,10
09-30-2021 01-11-43.wav,2021-09-30T01:11:43,0,False,0
09-30-2021 03-26-55.wav,2021-09-30T03:26:55,10,False,10
09-30-2021 02-43-43.wav,2021-09-30T02:43:43,10,False,10
09-30-2021 00-13-19.wav,2021-09-30T00:13:19,10,False,10
09-30-2021 01-27-43.wav,2021-09-30T01:27:43,0,False,0
09-30-2021 03-10-55.wav,2021-09-30T03:10:55,10,False,10
09-30-2021 01-39-43.wav,2021-09-30T01:39:43,10,False,10
09-30-2021 00-25-19.wav,2021-09-30T00:25:19,0,False,0
09-30-2021 00-42-55.wav,2021-09-30T00:42:55,10,False,10
09-30-2021 00-29-19.wav,2021-09-30T00:29:19,0,False,0
09-30-2021 01-35-43.wav,2021-09-30T01:35:43,0,False,0
09-30-2021 03-02-55.wav,2021-09-30T03:02:55,0,False,0
09-30-2021 00-37-19.wav,2021-09-30T00:37:19,0,False,0
09-30-2021 00-50-55.wav,2021-09-30T00:50:55,0,False,0
09-30-2021 03-20-31.wav,2021-09-30T03:20:31,10,False,10
09-30-2021 01-38-07.wav,2021-09-30T01:38:07,10,False,10
09-30-2021 01-26-07.wav,2021-09-30T01:26:07,0,False,0
09-30-2021 03-32-31.wav,2021-09-30T03:32:31,10,False,10
09-30-2021 01-34-07.wav,2021-09-30T01:34:07,0,False,0
09-30-2021 03-04-31.wav,2021-09-30T03:04:31,10,False,10
09-29-2021 23-57-19.wav,2021-09-29T23:57:19,10,False,10
09-30-2021 00-48-31.wav,2021-09-30T00:48:31,0,False,0
09-30-2021 02-50-07.wav,2021-09-30T02:50:07,10,False,10
09-30-2021 00-56-31.wav,2021-09-30T00:56:31,0,False,0
09-30-2021 01-02-07.wav,2021-09-30T01:02:07,0,False,0
09-30-2021 03-16-31.wav,2021-09-30T03:16:31,10,False,10
09-30-2021 02-42-07.wav,2021-09-30T02:42:07,10,False,10
09-30-2021 00-44-31.wav,2021-09-30T00:44:31,10,False,10
09-30-2021 01-10-07.wav,2021-09-30T01:10:07,0,False,0
09-30-2021 03-08-31.wav,2021-09-30T03:08:31,9,False,9
09-30-2021 02-14-55.wav,2021-09-30T02:14:55,0,False,0
09-30-2021 01-58-55.wav,2021-09-30T01:58:55,10,False,10
09-30-2021 00-23-43.wav,2021-09-30T00:23:43,10,False,10
